ID,gender,has_a_car,has_a_property,children_count,income,employment_status,education_level,marital_status,dwelling,age,employment_length,job_title,family_member_count,is_high_risk,cluster
5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,45,19,Core staff,3.0,0,0
5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,0
5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,1
5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,1
5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,1
5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,0
5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,0
5008882,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4,Managers,4.0,0,1
5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,56,0,Unemployee,1.0,0,1
5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,1
5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,1
5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,1
5008898,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008900,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008902,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008904,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008906,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008908,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008910,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008912,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43,8,Laborers,1.0,0,0
5008956,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49,4,Laborers,2.0,0,1
5008957,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49,4,Laborers,2.0,0,1
5008960,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49,4,Laborers,2.0,0,0
5008962,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49,4,Laborers,2.0,0,0
5008963,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49,4,Laborers,2.0,0,1
5008975,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,Unemployee,2.0,0,0
5008977,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,Unemployee,2.0,0,0
5008978,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,Unemployee,2.0,0,0
5008979,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,Unemployee,2.0,0,1
5008980,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,Unemployee,2.0,0,1
5008984,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6,Drivers,2.0,0,2
5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,46,3,Cleaning staff,1.0,0,0
5008994,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,46,3,Cleaning staff,1.0,0,0
5112861,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,46,3,Cleaning staff,1.0,0,0
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,2,Drivers,2.0,0,0
5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55,30,Laborers,2.0,0,0
5112862,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55,30,Laborers,2.0,0,0
5009037,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0,Unemployee,2.0,0,2
5009042,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,49,2,Core staff,2.0,0,0
5009051,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6,Core staff,4.0,0,0
5009052,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6,Core staff,4.0,0,1
5009062,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29,5,Sales staff,2.0,0,2
5009063,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29,5,Sales staff,2.0,0,2
5009068,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29,5,Sales staff,2.0,0,2
5009069,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29,5,Sales staff,2.0,0,0
5009070,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,29,5,Sales staff,2.0,0,2
5009071,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28,8,High skill tech staff,2.0,0,0
5009072,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28,8,High skill tech staff,2.0,0,0
5009074,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,49,1,Core staff,3.0,0,0
5009075,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,49,1,Core staff,3.0,0,0
5009078,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,39,3,Drivers,3.0,0,1
5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,27,8,Laborers,2.0,0,1
5009083,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,57,15,Drivers,2.0,0,1
5009088,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,40,8,Laborers,4.0,0,0
5009089,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,40,8,Laborers,4.0,0,0
5009096,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,12,Accountants,3.0,0,0
5009099,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,36,1,Managers,1.0,0,2
5009100,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,36,1,Managers,1.0,0,2
5009103,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,Drivers,4.0,0,1
5009104,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,Drivers,4.0,0,2
5009105,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,Drivers,4.0,0,2
5009106,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,Drivers,4.0,0,2
5112876,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,Drivers,4.0,0,0
5009109,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,7,Security staff,2.0,0,0
5009141,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,26,4,Managers,2.0,0,1
5009145,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,43,10,Managers,2.0,0,1
5009146,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,43,10,Managers,2.0,0,0
5009151,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009152,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009153,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009154,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,0
5009155,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,0
5009157,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009158,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009160,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,0
5009161,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,0
5009162,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,8,Sales staff,2.0,0,1
5009177,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,50,3,Laborers,2.0,0,0
5009178,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,50,3,Laborers,2.0,0,0
5009180,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,50,3,Laborers,2.0,0,0
5009182,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,50,3,Laborers,2.0,0,1
5009183,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,50,3,Laborers,2.0,0,1
5009190,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,48,16,Managers,2.0,0,0
5009192,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,48,16,Managers,2.0,0,0
5009193,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,48,16,Managers,2.0,0,0
5009198,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,1
5009203,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,2
5009206,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,0
5009207,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,0
5009208,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,1
5009209,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,58,24,Accountants,2.0,0,0
5009213,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,34,2,Accountants,2.0,0,2
5009215,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,34,2,Accountants,2.0,0,1
5009220,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009222,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009223,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009224,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,1
5009225,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,2
5009226,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009227,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009232,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,1
5009233,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009236,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,40,2,Managers,2.0,0,0
5009238,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,29,2,Drivers,2.0,0,0
5009240,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,29,2,Drivers,2.0,0,1
5009242,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,53,14,Core staff,1.0,0,1
5009249,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,27,2,Drivers,3.0,0,0
5009251,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,27,2,Drivers,3.0,0,0
5009253,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,27,2,Drivers,3.0,0,0
5009260,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,40,3,Core staff,2.0,0,0
5009261,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,40,3,Core staff,2.0,0,0
5009265,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,28,4,Managers,2.0,0,1
5009268,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,28,4,Managers,2.0,0,0
5009269,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,28,4,Managers,2.0,0,1
5009270,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,0
5009271,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,0
5009272,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,0
5009274,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,0
5009275,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,2
5009277,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,41,6,Laborers,2.0,0,0
5009278,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,2
5009279,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,0
5009280,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,0
5009281,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,2
5009284,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,1
5009286,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,0
5009287,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,0
5009290,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,2
5009292,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,0
5009293,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,1
5009294,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42,13,Cleaning staff,2.0,0,1
5009295,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0,Unemployee,2.0,0,0
5009297,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44,5,Laborers,1.0,0,0
5009299,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44,5,Laborers,1.0,0,0
5009302,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,61,0,Unemployee,1.0,0,0
5009303,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,61,0,Unemployee,1.0,0,0
5009304,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,61,0,Unemployee,1.0,0,2
5009306,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009307,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009308,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,1
5009309,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009310,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009311,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009312,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009316,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009319,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,1
5009340,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,29,6,High skill tech staff,2.0,0,0
5009341,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,29,6,High skill tech staff,2.0,0,0
5009342,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,29,6,High skill tech staff,2.0,0,0
5009343,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,29,6,High skill tech staff,2.0,0,0
5009345,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,29,6,High skill tech staff,2.0,0,0
5009349,M,N,N,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,58,0,Drivers,2.0,0,2
5009355,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54,14,Laborers,2.0,0,0
5009358,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54,14,Laborers,2.0,0,2
5009361,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,41,1,Drivers,2.0,0,0
5009365,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,41,1,Drivers,2.0,0,0
5009366,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,41,1,Drivers,2.0,0,1
5009367,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,41,1,Drivers,2.0,0,0
5009378,F,N,N,2,225000.0,Working,Higher education,Married,House / apartment,31,4,Core staff,4.0,0,1
5009383,F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,40,15,Managers,2.0,0,0
5009384,F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,40,15,Managers,2.0,0,0
5009391,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,30,8,Core staff,1.0,0,0
5009392,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,30,8,Core staff,1.0,0,0
5009393,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,30,8,Core staff,1.0,0,1
5009396,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,1
5009397,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,1
5009398,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,0
5009399,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,1
5009400,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,1
5009401,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,34,1,Accountants,3.0,0,1
5009403,M,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57,0,Security staff,2.0,0,1
5009405,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,38,6,Drivers,2.0,0,2
5009406,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,38,6,Drivers,2.0,0,2
5009408,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,38,6,Drivers,2.0,0,2
5009410,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,38,6,Drivers,2.0,0,2
5112901,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,38,6,Drivers,2.0,0,1
5009424,M,N,N,0,108000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,22,3,Cooking staff,1.0,0,0
5009435,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,Unemployee,2.0,0,0
5009450,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,0
5009451,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,0
5009452,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,0
5009454,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,1
5009455,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,0
5009456,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,1
5009457,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,47,3,Laborers,2.0,0,0
5009490,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,17,Laborers,2.0,0,0
5009492,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,17,Laborers,2.0,0,1
5009493,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,Drivers,2.0,0,1
5009495,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,Drivers,2.0,0,0
5009500,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,Drivers,2.0,0,1
5009503,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,Drivers,2.0,0,2
5009509,F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,44,13,Core staff,2.0,0,0
5009512,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,46,7,Core staff,2.0,0,0
5009515,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,46,7,Core staff,2.0,0,2
5009516,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,46,7,Core staff,2.0,0,2
5009517,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,46,7,Core staff,2.0,0,0
5009519,M,Y,N,2,180000.0,Working,Incomplete higher,Married,House / apartment,34,6,Laborers,4.0,0,0
5009525,M,Y,N,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,33,3,Laborers,2.0,0,0
5009537,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,4,Sales staff,2.0,0,1
5009540,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,4,Sales staff,2.0,0,0
5009543,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,1
5009545,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009546,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009551,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009554,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,1
5009555,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,2
5009558,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009559,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009560,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009561,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,27,Laborers,2.0,0,0
5009565,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,2
5009567,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,0
5009570,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,2
5009571,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,1
5009572,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,2
5009573,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42,8,Laborers,2.0,0,2
5009575,F,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,47,2,Accountants,2.0,0,0
5009577,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0,Unemployee,2.0,0,0
5009578,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0,Unemployee,2.0,0,0
5009580,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0,Unemployee,2.0,0,0
